NC_006583.3 chr1
NW_003727587.1 chrUn_AAEX03024113
NW_003727588.1 chrUn_AAEX03024114
NW_003727589.1 chrUn_AAEX03024115
NW_003727590.1 chrUn_AAEX03024116
NW_003727591.1 chrUn_AAEX03024117
NW_003727592.1 chrUn_AAEX03024118
NW_003727593.1 chrUn_AAEX03024119
NW_003727594.1 chrUn_AAEX03024120
NW_003727595.1 chrUn_AAEX03024121
NW_003727596.1 chrUn_AAEX03024122
NW_003727597.1 chrUn_AAEX03024123
NW_003727598.1 chrUn_AAEX03024124
NW_003727599.1 chrUn_AAEX03024125
NW_003727600.1 chrUn_AAEX03024126
NW_003727602.1 chrUn_AAEX03024129
NW_003727603.1 chrUn_AAEX03024130
NW_003727604.1 chrUn_AAEX03024131
NW_003727605.1 chrUn_AAEX03024132
NW_003727606.1 chrUn_AAEX03024133
NW_003727607.1 chrUn_AAEX03024134
NW_003727609.1 chrUn_AAEX03024137
NW_003727610.1 chrUn_AAEX03024138
NW_003727612.1 chrUn_AAEX03024143
NW_003727613.1 chrUn_AAEX03024144
NW_003727615.1 chrUn_AAEX03024149
NW_003727616.1 chrUn_AAEX03024150
NW_003727617.1 chrUn_AAEX03024151
NW_003727619.1 chrUn_AAEX03024155
NW_003727622.1 chrUn_AAEX03024161
NW_003727623.1 chrUn_AAEX03024162
NW_003727624.1 chrUn_AAEX03024163
NW_003727625.1 chrUn_AAEX03024164
NW_003727626.1 chrUn_AAEX03024165
NW_003727627.1 chrUn_AAEX03024166
NW_003727628.1 chrUn_AAEX03024167
NW_003727631.1 chrUn_AAEX03024174
NW_003727633.1 chrUn_AAEX03024177
NW_003727635.1 chrUn_AAEX03024181
NW_003727636.1 chrUn_AAEX03024182
NW_003727637.1 chrUn_AAEX03024183
NW_003727638.1 chrUn_AAEX03024184
NW_003727639.1 chrUn_AAEX03024185
NW_003727640.1 chrUn_AAEX03024186
NW_003727641.1 chrUn_AAEX03024187
NW_003727642.1 chrUn_AAEX03024188
NW_003727643.1 chrUn_AAEX03024189
NW_003727645.1 chrUn_AAEX03024193
NW_003727646.1 chrUn_AAEX03024194
NW_003727649.1 chrUn_AAEX03024201
NW_003727650.1 chrUn_AAEX03024202
NW_003727651.1 chrUn_AAEX03024203
NW_003727652.1 chrUn_AAEX03024204
NW_003727653.1 chrUn_AAEX03024205
NW_003727654.1 chrUn_AAEX03024206
NW_003727655.1 chrUn_AAEX03024207
NW_003727656.1 chrUn_AAEX03024208
NW_003727657.1 chrUn_AAEX03024209
NW_003727658.1 chrUn_AAEX03024210
NW_003727661.1 chrUn_AAEX03024218
NW_003727662.1 chrUn_AAEX03024219
NW_003727663.1 chrUn_AAEX03024220
NW_003727665.1 chrUn_AAEX03024224
NW_003727666.1 chrUn_AAEX03024225
NW_003727667.1 chrUn_AAEX03024226
NW_003727668.1 chrUn_AAEX03024227
NW_003727669.1 chrUn_AAEX03024228
NW_003727671.1 chrUn_AAEX03024235
NW_003727673.1 chrUn_AAEX03024239
NW_003727675.1 chrUn_AAEX03024243
NW_003727676.1 chrUn_AAEX03024244
NW_003727677.1 chrUn_AAEX03024245
NW_003727678.1 chrUn_AAEX03024246
NW_003727679.1 chrUn_AAEX03024247
NW_003727680.1 chrUn_AAEX03024248
NW_003727681.1 chrUn_AAEX03024249
NW_003727684.1 chrUn_AAEX03024257
NW_003727685.1 chrUn_AAEX03024258
NW_003727686.1 chrUn_AAEX03024259
NW_003727687.1 chrUn_AAEX03024260
NW_003727688.1 chrUn_AAEX03024261
NW_003727689.1 chrUn_AAEX03024262
NW_003727691.1 chrUn_AAEX03024267
NW_003727692.1 chrUn_AAEX03024268
NW_003727693.1 chrUn_AAEX03024269
NW_003727694.1 chrUn_AAEX03024270
NW_003727695.1 chrUn_AAEX03024271
NW_003727696.1 chrUn_AAEX03024272
NW_003727697.1 chrUn_AAEX03024273
NW_003727698.1 chrUn_AAEX03024274
NW_003727700.1 chrUn_AAEX03024277
NW_003727701.1 chrUn_AAEX03024278
NW_003727702.1 chrUn_AAEX03024279
NW_003727704.1 chrUn_AAEX03024283
NW_003727705.1 chrUn_AAEX03024284
NW_003727706.1 chrUn_AAEX03024285
NW_003727708.1 chrUn_AAEX03024289
NW_003727711.1 chrUn_AAEX03024296
NW_003727712.1 chrUn_AAEX03024297
NW_003727713.1 chrUn_AAEX03024298
NW_003727714.1 chrUn_AAEX03024299
NW_003727715.1 chrUn_AAEX03024300
NW_003727716.1 chrUn_AAEX03024301
NW_003727717.1 chrUn_AAEX03024302
NW_003727719.1 chrUn_AAEX03024305
NW_003727720.1 chrUn_AAEX03024306
NW_003727721.1 chrUn_AAEX03024307
NW_003727722.1 chrUn_AAEX03024308
NW_003727723.1 chrUn_AAEX03024309
NW_003727725.1 chrUn_AAEX03024314
NW_003727726.1 chrUn_AAEX03024315
NW_003727727.1 chrUn_AAEX03024316
NW_003727728.1 chrUn_AAEX03024317
NW_003727729.1 chrUn_AAEX03024318
NW_003727730.1 chrUn_AAEX03024319
NW_003727732.1 chrUn_AAEX03024323
NW_003727733.1 chrUn_AAEX03024324
NW_003727734.1 chrUn_AAEX03024325
NW_003727735.1 chrUn_AAEX03024326
NW_003727737.1 chrUn_AAEX03024331
NW_003727738.1 chrUn_AAEX03024332
NW_003727739.1 chrUn_AAEX03024333
NW_003727740.1 chrUn_AAEX03024334
NW_003727741.1 chrUn_AAEX03024335
NW_003727742.1 chrUn_AAEX03024336
NW_003727743.1 chrUn_AAEX03024337
NW_003727745.1 chrUn_AAEX03024340
NW_003727746.1 chrUn_AAEX03024341
NW_003727747.1 chrUn_AAEX03024342
NW_003727748.1 chrUn_AAEX03024343
NW_003727750.1 chrUn_AAEX03024349
NW_003727751.1 chrUn_AAEX03024350
NW_003727752.1 chrUn_AAEX03024351
NW_003727753.1 chrUn_AAEX03024352
NW_003727754.1 chrUn_AAEX03024353
NW_003727755.1 chrUn_AAEX03024354
NW_003727756.1 chrUn_AAEX03024355
NW_003727757.1 chrUn_AAEX03024356
NW_003727758.1 chrUn_AAEX03024357
NW_003727759.1 chrUn_AAEX03024358
NW_003727760.1 chrUn_AAEX03024359
NW_003727761.1 chrUn_AAEX03024360
NW_003727762.1 chrUn_AAEX03024361
NW_003727763.1 chrUn_AAEX03024362
NW_003727764.1 chrUn_AAEX03024363
NW_003727765.1 chrUn_AAEX03024364
NW_003727767.1 chrUn_AAEX03024369
NW_003727768.1 chrUn_AAEX03024370
NW_003727769.1 chrUn_AAEX03024371
NW_003727771.1 chrUn_AAEX03024375
NW_003727772.1 chrUn_AAEX03024376
NW_003727773.1 chrUn_AAEX03024377
NW_003727774.1 chrUn_AAEX03024378
NW_003727775.1 chrUn_AAEX03024379
NW_003727779.1 chrUn_AAEX03024389
NW_003727780.1 chrUn_AAEX03024390
NW_003727781.1 chrUn_AAEX03024391
NW_003727782.1 chrUn_AAEX03024392
NW_003727783.1 chrUn_AAEX03024393
NW_003727784.1 chrUn_AAEX03024394
NW_003727786.1 chrUn_AAEX03024399
NW_003727787.1 chrUn_AAEX03024400
NW_003727788.1 chrUn_AAEX03024401
NW_003727789.1 chrUn_AAEX03024402
NW_003727790.1 chrUn_AAEX03024403
NW_003727791.1 chrUn_AAEX03024404
NW_003727793.1 chrUn_AAEX03024407
NW_003727795.1 chrUn_AAEX03024411
NW_003727796.1 chrUn_AAEX03024412
NW_003727797.1 chrUn_AAEX03024413
NW_003727798.1 chrUn_AAEX03024414
NW_003727799.1 chrUn_AAEX03024415
NW_003727800.1 chrUn_AAEX03024416
NW_003727801.1 chrUn_AAEX03024417
NW_003727802.1 chrUn_AAEX03024418
NW_003727803.1 chrUn_AAEX03024419
NW_003727804.1 chrUn_AAEX03024420
NW_003727805.1 chrUn_AAEX03024421
NW_003727806.1 chrUn_AAEX03024422
NW_003727807.1 chrUn_AAEX03024423
NW_003727808.1 chrUn_AAEX03024424
NW_003727809.1 chrUn_AAEX03024425
NW_003727810.1 chrUn_AAEX03024426
NW_003727812.1 chrUn_AAEX03024431
NW_003727813.1 chrUn_AAEX03024432
NW_003727814.1 chrUn_AAEX03024433
NW_003727815.1 chrUn_AAEX03024434
NW_003727817.1 chrUn_AAEX03024438
NW_003727818.1 chrUn_AAEX03024439
NW_003727819.1 chrUn_AAEX03024440
NW_003727821.1 chrUn_AAEX03024443
NW_003727822.1 chrUn_AAEX03024444
NW_003727823.1 chrUn_AAEX03024445
NW_003727824.1 chrUn_AAEX03024446
NW_003727825.1 chrUn_AAEX03024447
NW_003727826.1 chrUn_AAEX03024448
NW_003727827.1 chrUn_AAEX03024449
NW_003727828.1 chrUn_AAEX03024450
NW_003727829.1 chrUn_AAEX03024451
NW_003727830.1 chrUn_AAEX03024452
NW_003727832.1 chrUn_AAEX03024457
NW_003727834.1 chrUn_AAEX03024460
NW_003727835.1 chrUn_AAEX03024461
NW_003727836.1 chrUn_AAEX03024462
NW_003727837.1 chrUn_AAEX03024463
NW_003727838.1 chrUn_AAEX03024464
NW_003727839.1 chrUn_AAEX03024465
NW_003727840.1 chrUn_AAEX03024466
NW_003727841.1 chrUn_AAEX03024467
NW_003727842.1 chrUn_AAEX03024468
NW_003727843.1 chrUn_AAEX03024469
NW_003727844.1 chrUn_AAEX03024470
NW_003727845.1 chrUn_AAEX03024471
NW_003727846.1 chrUn_AAEX03024472
NW_003727847.1 chrUn_AAEX03024473
NW_003727848.1 chrUn_AAEX03024474
NW_003727849.1 chrUn_AAEX03024475
NW_003727850.1 chrUn_AAEX03024476
NW_003727851.1 chrUn_AAEX03024477
NW_003727852.1 chrUn_AAEX03024478
NW_003727853.1 chrUn_AAEX03024479
NW_003727854.1 chrUn_AAEX03024480
NW_003727855.1 chrUn_AAEX03024481
NW_003727856.1 chrUn_AAEX03024482
NW_003727858.1 chrUn_AAEX03024485
NW_003727859.1 chrUn_AAEX03024486
NW_003727860.1 chrUn_AAEX03024487
NW_003727861.1 chrUn_AAEX03024488
NW_003727862.1 chrUn_AAEX03024489
NW_003727863.1 chrUn_AAEX03024490
NW_003727864.1 chrUn_AAEX03024491
NW_003727865.1 chrUn_AAEX03024492
NW_003727866.1 chrUn_AAEX03024493
NW_003727867.1 chrUn_AAEX03024494
NW_003727868.1 chrUn_AAEX03024495
NW_003727869.1 chrUn_AAEX03024496
NW_003727871.1 chrUn_AAEX03024499
NW_003727872.1 chrUn_AAEX03024500
NW_003727873.1 chrUn_AAEX03024501
NW_003727874.1 chrUn_AAEX03024502
NW_003727875.1 chrUn_AAEX03024503
NW_003727876.1 chrUn_AAEX03024504
NW_003727877.1 chrUn_AAEX03024505
NW_003727878.1 chrUn_AAEX03024506
NW_003727879.1 chrUn_AAEX03024507
NW_003727880.1 chrUn_AAEX03024508
NW_003727881.1 chrUn_AAEX03024509
NW_003727882.1 chrUn_AAEX03024510
NW_003727883.1 chrUn_AAEX03024511
NW_003727884.1 chrUn_AAEX03024512
NW_003727885.1 chrUn_AAEX03024513
NW_003727886.1 chrUn_AAEX03024514
NW_003727887.1 chrUn_AAEX03024515
NW_003727888.1 chrUn_AAEX03024516
NW_003727889.1 chrUn_AAEX03024517
NW_003727890.1 chrUn_AAEX03024518
NW_003727892.1 chrUn_AAEX03024522
NW_003727893.1 chrUn_AAEX03024523
NW_003727894.1 chrUn_AAEX03024524
NW_003727895.1 chrUn_AAEX03024525
NW_003727896.1 chrUn_AAEX03024526
NW_003727897.1 chrUn_AAEX03024527
NW_003727898.1 chrUn_AAEX03024528
NW_003727899.1 chrUn_AAEX03024529
NW_003727900.1 chrUn_AAEX03024530
NW_003727901.1 chrUn_AAEX03024531
NW_003727902.1 chrUn_AAEX03024532
NW_003727903.1 chrUn_AAEX03024533
NW_003727904.1 chrUn_AAEX03024534
NW_003727905.1 chrUn_AAEX03024535
NW_003727906.1 chrUn_AAEX03024536
NW_003727907.1 chrUn_AAEX03024537
NW_003727908.1 chrUn_AAEX03024538
NW_003727909.1 chrUn_AAEX03024539
NW_003727910.1 chrUn_AAEX03024540
NW_003727911.1 chrUn_AAEX03024541
NW_003727912.1 chrUn_AAEX03024542
NW_003727913.1 chrUn_AAEX03024543
NW_003727914.1 chrUn_AAEX03024544
NW_003727915.1 chrUn_AAEX03024545
NW_003727916.1 chrUn_AAEX03024546
NW_003727917.1 chrUn_AAEX03024547
NW_003727918.1 chrUn_AAEX03024548
NW_003727919.1 chrUn_AAEX03024549
NW_003727920.1 chrUn_AAEX03024550
NW_003727922.1 chrUn_AAEX03024553
NW_003727923.1 chrUn_AAEX03024554
NW_003727924.1 chrUn_AAEX03024555
NW_003727925.1 chrUn_AAEX03024556
NW_003727926.1 chrUn_AAEX03024557
NW_003727928.1 chrUn_AAEX03024561
NW_003727929.1 chrUn_AAEX03024562
NW_003727930.1 chrUn_AAEX03024563
NW_003727931.1 chrUn_AAEX03024564
NW_003727932.1 chrUn_AAEX03024565
NW_003727934.1 chrUn_AAEX03024569
NW_003727935.1 chrUn_AAEX03024570
NW_003727936.1 chrUn_AAEX03024571
NW_003727937.1 chrUn_AAEX03024572
NW_003727938.1 chrUn_AAEX03024573
NW_003727939.1 chrUn_AAEX03024574
NW_003727940.1 chrUn_AAEX03024575
NW_003727942.1 chrUn_AAEX03024581
NW_003727944.1 chrUn_AAEX03024585
NW_003727945.1 chrUn_AAEX03024586
NW_003727946.1 chrUn_AAEX03024587
NW_003727947.1 chrUn_AAEX03024588
NW_003727948.1 chrUn_AAEX03024589
NW_003727949.1 chrUn_AAEX03024590
NW_003727950.1 chrUn_AAEX03024591
NW_003727951.1 chrUn_AAEX03024592
NW_003727952.1 chrUn_AAEX03024593
NW_003727953.1 chrUn_AAEX03024594
NW_003727955.1 chrUn_AAEX03024598
NW_003727956.1 chrUn_AAEX03024599
NW_003727957.1 chrUn_AAEX03024600
NW_003727960.1 chrUn_AAEX03024606
NW_003727961.1 chrUn_AAEX03024607
NW_003727962.1 chrUn_AAEX03024608
NW_003727963.1 chrUn_AAEX03024609
NW_003727964.1 chrUn_AAEX03024610
NW_003727965.1 chrUn_AAEX03024611
NW_003727966.1 chrUn_AAEX03024612
NW_003727968.1 chrUn_AAEX03024615
NW_003727969.1 chrUn_AAEX03024616
NW_003727970.1 chrUn_AAEX03024617
NW_003727971.1 chrUn_AAEX03024618
NW_003727972.1 chrUn_AAEX03024619
NW_003727973.1 chrUn_AAEX03024620
NW_003727974.1 chrUn_AAEX03024621
NW_003727975.1 chrUn_AAEX03024622
NW_003727977.1 chrUn_AAEX03024625
NW_003727978.1 chrUn_AAEX03024626
NW_003727981.1 chrUn_AAEX03024631
NW_003727982.1 chrUn_AAEX03024632
NW_003727983.1 chrUn_AAEX03024633
NW_003727984.1 chrUn_AAEX03024634
NW_003727986.1 chrUn_AAEX03024638
NW_003727987.1 chrUn_AAEX03024639
NW_003727989.1 chrUn_AAEX03024643
NW_003727990.1 chrUn_AAEX03024644
NW_003727991.1 chrUn_AAEX03024645
NW_003727992.1 chrUn_AAEX03024646
NW_003727993.1 chrUn_AAEX03024647
NW_003727994.1 chrUn_AAEX03024648
NW_003727995.1 chrUn_AAEX03024649
NW_003727996.1 chrUn_AAEX03024650
NW_003727997.1 chrUn_AAEX03024651
NW_003727998.1 chrUn_AAEX03024652
NW_003727999.1 chrUn_AAEX03024653
NW_003728000.1 chrUn_AAEX03024654
NW_003728001.1 chrUn_AAEX03024655
NW_003728002.1 chrUn_AAEX03024656
NW_003728003.1 chrUn_AAEX03024657
NW_003728004.1 chrUn_AAEX03024658
NW_003728005.1 chrUn_AAEX03024659
NW_003728006.1 chrUn_AAEX03024660
NW_003728007.1 chrUn_AAEX03024661
NW_003728008.1 chrUn_AAEX03024662
NW_003728009.1 chrUn_AAEX03024663
NW_003728010.1 chrUn_AAEX03024664
NW_003728011.1 chrUn_AAEX03024665
NW_003728012.1 chrUn_AAEX03024666
NW_003728013.1 chrUn_AAEX03024667
NW_003728014.1 chrUn_AAEX03024668
NW_003728015.1 chrUn_AAEX03024669
NW_003728016.1 chrUn_AAEX03024670
NW_003728017.1 chrUn_AAEX03024671
NW_003728018.1 chrUn_AAEX03024672
NW_003728019.1 chrUn_AAEX03024673
NW_003728021.1 chrUn_AAEX03024678
NW_003728023.1 chrUn_AAEX03024681
NW_003728024.1 chrUn_AAEX03024682
NW_003728025.1 chrUn_AAEX03024683
NW_003728026.1 chrUn_AAEX03024684
NW_003728027.1 chrUn_AAEX03024685
NW_003728028.1 chrUn_AAEX03024686
NW_003728029.1 chrUn_AAEX03024687
NW_003728030.1 chrUn_AAEX03024688
NW_003728031.1 chrUn_AAEX03024689
NW_003728032.1 chrUn_AAEX03024690
NW_003728033.1 chrUn_AAEX03024691
NW_003728034.1 chrUn_AAEX03024692
NW_003728035.1 chrUn_AAEX03024693
NW_003728036.1 chrUn_AAEX03024694
NW_003728037.1 chrUn_AAEX03024695
NW_003728038.1 chrUn_AAEX03024696
NW_003728039.1 chrUn_AAEX03024697
NW_003728040.1 chrUn_AAEX03024698
NW_003728041.1 chrUn_AAEX03024699
NW_003728042.1 chrUn_AAEX03024700
NW_003728043.1 chrUn_AAEX03024701
NW_003728044.1 chrUn_AAEX03024702
NW_003728046.1 chrUn_AAEX03024706
NW_003728047.1 chrUn_AAEX03024707
NW_003728048.1 chrUn_AAEX03024708
NW_003728049.1 chrUn_AAEX03024709
NW_003728050.1 chrUn_AAEX03024710
NW_003728051.1 chrUn_AAEX03024711
NW_003728052.1 chrUn_AAEX03024712
NW_003728053.1 chrUn_AAEX03024713
NW_003728054.1 chrUn_AAEX03024714
NW_003728056.1 chrUn_AAEX03024718
NW_003728057.1 chrUn_AAEX03024719
NW_003728058.1 chrUn_AAEX03024720
NW_003728061.1 chrUn_AAEX03024725
NW_003728062.1 chrUn_AAEX03024726
NW_003728063.1 chrUn_AAEX03024727
NW_003728064.1 chrUn_AAEX03024728
NW_003728065.1 chrUn_AAEX03024729
NW_003728066.1 chrUn_AAEX03024730
NW_003728067.1 chrUn_AAEX03024731
NW_003728068.1 chrUn_AAEX03024732
NW_003728069.1 chrUn_AAEX03024733
NW_003728070.1 chrUn_AAEX03024734
NW_003728071.1 chrUn_AAEX03024735
NW_003728072.1 chrUn_AAEX03024736
NW_003728073.1 chrUn_AAEX03024737
NW_003728074.1 chrUn_AAEX03024738
NW_003728075.1 chrUn_AAEX03024739
NW_003728076.1 chrUn_AAEX03024740
NW_003728077.1 chrUn_AAEX03024741
NW_003728078.1 chrUn_AAEX03024742
NW_003728079.1 chrUn_AAEX03024743
NW_003728080.1 chrUn_AAEX03024744
NW_003728081.1 chrUn_AAEX03024745
NW_003728082.1 chrUn_AAEX03024746
NW_003728083.1 chrUn_AAEX03024747
NW_003728085.1 chrUn_AAEX03024750
NW_003728086.1 chrUn_AAEX03024751
NW_003728087.1 chrUn_AAEX03024752
NW_003728088.1 chrUn_AAEX03024753
NW_003728089.1 chrUn_AAEX03024754
NW_003728090.1 chrUn_AAEX03024755
NW_003728091.1 chrUn_AAEX03024756
NW_003728092.1 chrUn_AAEX03024757
NW_003728093.1 chrUn_AAEX03024758
NW_003728094.1 chrUn_AAEX03024759
NW_003728095.1 chrUn_AAEX03024760
NW_003728096.1 chrUn_AAEX03024761
NW_003728097.1 chrUn_AAEX03024762
NW_003728098.1 chrUn_AAEX03024763
NW_003728099.1 chrUn_AAEX03024764
NW_003728100.1 chrUn_AAEX03024765
NW_003728101.1 chrUn_AAEX03024766
NW_003728102.1 chrUn_AAEX03024767
NW_003728103.1 chrUn_AAEX03024768
NW_003728104.1 chrUn_AAEX03024769
NW_003728105.1 chrUn_AAEX03024770
NW_003728106.1 chrUn_AAEX03024771
NW_003728107.1 chrUn_AAEX03024772
NW_003728108.1 chrUn_AAEX03024773
NW_003728109.1 chrUn_AAEX03024774
NW_003728110.1 chrUn_AAEX03024775
NW_003728111.1 chrUn_AAEX03024776
NW_003728112.1 chrUn_AAEX03024777
NW_003728113.1 chrUn_AAEX03024778
NW_003728114.1 chrUn_AAEX03024779
NW_003728115.1 chrUn_AAEX03024780
NW_003728116.1 chrUn_AAEX03024781
NW_003728117.1 chrUn_AAEX03024782
NW_003728118.1 chrUn_AAEX03024783
NW_003728119.1 chrUn_AAEX03024784
NW_003728120.1 chrUn_AAEX03024785
NW_003728121.1 chrUn_AAEX03024786
NW_003728122.1 chrUn_AAEX03024787
NW_003728123.1 chrUn_AAEX03024788
NW_003728124.1 chrUn_AAEX03024789
NW_003728125.1 chrUn_AAEX03024790
NW_003728126.1 chrUn_AAEX03024791
NW_003728127.1 chrUn_AAEX03024792
NW_003728128.1 chrUn_AAEX03024793
NW_003728129.1 chrUn_AAEX03024794
NW_003728130.1 chrUn_AAEX03024795
NW_003728131.1 chrUn_AAEX03024796
NW_003728132.1 chrUn_AAEX03024797
NW_003728133.1 chrUn_AAEX03024798
NW_003728134.1 chrUn_AAEX03024799
NW_003728135.1 chrUn_AAEX03024800
NW_003728136.1 chrUn_AAEX03024801
NW_003728137.1 chrUn_AAEX03024802
NW_003728138.1 chrUn_AAEX03024803
NW_003728139.1 chrUn_AAEX03024804
NW_003728140.1 chrUn_AAEX03024805
NW_003728141.1 chrUn_AAEX03024806
NW_003728142.1 chrUn_AAEX03024807
NW_003728143.1 chrUn_AAEX03024808
NW_003728144.1 chrUn_AAEX03024809
NW_003728145.1 chrUn_AAEX03024810
NW_003728146.1 chrUn_AAEX03024811
NW_003728147.1 chrUn_AAEX03024812
NW_003728148.1 chrUn_AAEX03024813
NW_003728149.1 chrUn_AAEX03024814
NW_003728150.1 chrUn_AAEX03024815
NW_003728151.1 chrUn_AAEX03024816
NW_003728152.1 chrUn_AAEX03024817
NW_003728153.1 chrUn_AAEX03024818
NW_003728154.1 chrUn_AAEX03024819
NW_003728155.1 chrUn_AAEX03024820
NW_003728156.1 chrUn_AAEX03024821
NW_003728158.1 chrUn_AAEX03024824
NW_003728159.1 chrUn_AAEX03024825
NW_003728160.1 chrUn_AAEX03024826
NW_003728161.1 chrUn_AAEX03024827
NW_003728162.1 chrUn_AAEX03024828
NW_003728163.1 chrUn_AAEX03024829
NW_003728164.1 chrUn_AAEX03024830
NW_003728165.1 chrUn_AAEX03024831
NW_003728166.1 chrUn_AAEX03024832
NW_003728168.1 chrUn_AAEX03024836
NW_003728169.1 chrUn_AAEX03024837
NW_003728170.1 chrUn_AAEX03024838
NW_003728171.1 chrUn_AAEX03024839
NW_003728172.1 chrUn_AAEX03024840
NW_003728173.1 chrUn_AAEX03024841
NW_003728174.1 chrUn_AAEX03024842
NW_003728175.1 chrUn_AAEX03024843
NW_003728176.1 chrUn_AAEX03024844
NW_003728177.1 chrUn_AAEX03024845
NW_003728178.1 chrUn_AAEX03024846
NW_003728179.1 chrUn_AAEX03024847
NW_003728181.1 chrUn_AAEX03024850
NW_003728182.1 chrUn_AAEX03024851
NW_003728183.1 chrUn_AAEX03024852
NW_003728184.1 chrUn_AAEX03024853
NW_003728185.1 chrUn_AAEX03024854
NW_003728188.1 chrUn_AAEX03024860
NW_003728189.1 chrUn_AAEX03024861
NW_003728190.1 chrUn_AAEX03024862
NW_003728191.1 chrUn_AAEX03024863
NW_003728192.1 chrUn_AAEX03024864
NW_003728193.1 chrUn_AAEX03024865
NW_003728194.1 chrUn_AAEX03024866
NW_003728195.1 chrUn_AAEX03024867
NW_003728196.1 chrUn_AAEX03024868
NW_003728197.1 chrUn_AAEX03024869
NW_003728198.1 chrUn_AAEX03024870
NW_003728199.1 chrUn_AAEX03024871
NW_003728200.1 chrUn_AAEX03024872
NW_003728201.1 chrUn_AAEX03024873
NW_003728202.1 chrUn_AAEX03024874
NW_003728203.1 chrUn_AAEX03024875
NW_003728204.1 chrUn_AAEX03024876
NW_003728205.1 chrUn_AAEX03024877
NW_003728206.1 chrUn_AAEX03024878
NW_003728207.1 chrUn_AAEX03024879
NW_003728210.1 chrUn_AAEX03024884
NW_003728211.1 chrUn_AAEX03024885
NW_003728212.1 chrUn_AAEX03024886
NW_003728213.1 chrUn_AAEX03024887
NW_003728214.1 chrUn_AAEX03024888
NW_003728215.1 chrUn_AAEX03024889
NW_003728216.1 chrUn_AAEX03024890
NW_003728217.1 chrUn_AAEX03024891
NW_003728218.1 chrUn_AAEX03024892
NW_003728219.1 chrUn_AAEX03024893
NW_003728220.1 chrUn_AAEX03024894
NW_003728221.1 chrUn_AAEX03024895
NW_003728222.1 chrUn_AAEX03024896
NW_003728223.1 chrUn_AAEX03024897
NW_003728224.1 chrUn_AAEX03024898
NW_003728225.1 chrUn_AAEX03024899
NW_003728226.1 chrUn_AAEX03024900
NW_003728227.1 chrUn_AAEX03024901
NW_003728228.1 chrUn_AAEX03024902
NW_003728229.1 chrUn_AAEX03024903
NW_003728230.1 chrUn_AAEX03024904
NW_003728231.1 chrUn_AAEX03024905
NW_003728232.1 chrUn_AAEX03024906
NW_003728233.1 chrUn_AAEX03024907
NW_003728234.1 chrUn_AAEX03024908
NW_003728235.1 chrUn_AAEX03024909
NW_003728236.1 chrUn_AAEX03024910
NW_003728237.1 chrUn_AAEX03024911
NW_003728238.1 chrUn_AAEX03024912
NW_003728239.1 chrUn_AAEX03024913
NW_003728241.1 chrUn_AAEX03024917
NW_003728242.1 chrUn_AAEX03024918
NW_003728243.1 chrUn_AAEX03024919
NW_003728244.1 chrUn_AAEX03024920
NW_003728245.1 chrUn_AAEX03024921
NW_003728246.1 chrUn_AAEX03024922
NW_003728247.1 chrUn_AAEX03024923
NW_003728248.1 chrUn_AAEX03024924
NW_003728249.1 chrUn_AAEX03024925
NW_003728250.1 chrUn_AAEX03024926
NW_003728251.1 chrUn_AAEX03024927
NW_003728252.1 chrUn_AAEX03024928
NW_003728253.1 chrUn_AAEX03024929
NW_003728254.1 chrUn_AAEX03024930
NW_003728256.1 chrUn_AAEX03024934
NW_003728257.1 chrUn_AAEX03024935
NW_003728258.1 chrUn_AAEX03024936
NW_003728259.1 chrUn_AAEX03024937
NW_003728260.1 chrUn_AAEX03024938
NW_003728261.1 chrUn_AAEX03024939
NW_003728262.1 chrUn_AAEX03024940
NW_003728263.1 chrUn_AAEX03024941
NW_003728264.1 chrUn_AAEX03024942
NW_003728265.1 chrUn_AAEX03024943
NW_003728266.1 chrUn_AAEX03024944
NW_003728267.1 chrUn_AAEX03024945
NW_003728268.1 chrUn_AAEX03024946
NW_003728269.1 chrUn_AAEX03024947
NW_003728270.1 chrUn_AAEX03024948
NW_003728271.1 chrUn_AAEX03024949
NW_003728272.1 chrUn_AAEX03024950
NW_003728273.1 chrUn_AAEX03024951
NW_003728274.1 chrUn_AAEX03024952
NW_003728275.1 chrUn_AAEX03024953
NW_003728276.1 chrUn_AAEX03024954
NW_003728277.1 chrUn_AAEX03024955
NW_003728278.1 chrUn_AAEX03024956
NW_003728279.1 chrUn_AAEX03024957
NW_003728280.1 chrUn_AAEX03024958
NW_003728281.1 chrUn_AAEX03024959
NW_003728282.1 chrUn_AAEX03024960
NW_003728283.1 chrUn_AAEX03024961
NW_003728284.1 chrUn_AAEX03024962
NW_003728285.1 chrUn_AAEX03024963
NW_003728286.1 chrUn_AAEX03024964
NW_003728287.1 chrUn_AAEX03024965
NW_003728289.1 chrUn_AAEX03024968
NW_003728290.1 chrUn_AAEX03024969
NW_003728291.1 chrUn_AAEX03024970
NW_003728292.1 chrUn_AAEX03024971
NW_003728293.1 chrUn_AAEX03024972
NW_003728294.1 chrUn_AAEX03024973
NW_003728295.1 chrUn_AAEX03024974
NW_003728296.1 chrUn_AAEX03024975
NW_003728297.1 chrUn_AAEX03024976
NW_003728298.1 chrUn_AAEX03024977
NW_003728299.1 chrUn_AAEX03024978
NW_003728300.1 chrUn_AAEX03024979
NW_003728301.1 chrUn_AAEX03024980
NW_003728302.1 chrUn_AAEX03024981
